id;id_ccaa;destino;metrica;anio;valor
1;1;Andalucía;Gasto total;2025;20032.82
2;1;Andalucía;Gasto total;2024;18460.33
3;1;Andalucía;Gasto total;2023;15314.99
4;1;Andalucía;Gasto total;2022;11989.59
5;1;Andalucía;Gasto total;2021;4768.27
6;1;Andalucía;Gasto total;2020;2875.13
7;1;Andalucía;Gasto total;2019;12412.97
8;1;Andalucía;Gasto total;2018;12641.38
9;1;Andalucía;Gasto total;2017;12672.87
10;1;Andalucía;Gasto total;2016;11318.92
11;1;Andalucía;Gasto medio por persona;2025;1388.00
12;1;Andalucía;Gasto medio por persona;2024;1360.00
13;1;Andalucía;Gasto medio por persona;2023;1256.00
14;1;Andalucía;Gasto medio por persona;2022;1198.00
15;1;Andalucía;Gasto medio por persona;2021;1122.00
16;1;Andalucía;Gasto medio por persona;2020;1065.00
17;1;Andalucía;Gasto medio por persona;2019;1032.00
18;1;Andalucía;Gasto medio por persona;2018;1082.00
19;1;Andalucía;Gasto medio por persona;2017;1100.00
20;1;Andalucía;Gasto medio por persona;2016;1069.00
21;1;Andalucía;Gasto medio diario por persona;2025;178.00
