id;id_ccaa;destino;motivo;alojamiento_nivel1;alojamiento_nivel2;anio;viajes
101;1;Andalucía;Turismo deportivo;Total;;2024;565973
102;1;Andalucía;Turismo deportivo;Total;;2023;414648
103;1;Andalucía;Turismo deportivo;Total;;2022;430210
104;1;Andalucía;Turismo deportivo;Total;;2021;285473
105;1;Andalucía;Turismo deportivo;Total;;2020;323649
106;1;Andalucía;Turismo deportivo;Total;;2019;541420
107;1;Andalucía;Turismo deportivo;Total;;2018;628841
108;1;Andalucía;Turismo deportivo;Total;;2017;656565
109;1;Andalucía;Turismo deportivo;Total;;2016;512463
110;1;Andalucía;Turismo deportivo;Total;;2015;598439
116;1;Andalucía;Turismo termal y de bienestar;Total;;2019;142771
117;1;Andalucía;Turismo termal y de bienestar;Total;;2018;147196
118;1;Andalucía;Turismo termal y de bienestar;Total;;2017;60968
119;1;Andalucía;Turismo termal y de bienestar;Total;;2016;114294
120;1;Andalucía;Turismo termal y de bienestar;Total;;2015;282675
121;1;Andalucía;Otro tipo de turismo de ocio;Total;;2024;5668061
122;1;Andalucía;Otro tipo de turismo de ocio;Total;;2023;5817529
123;1;Andalucía;Otro tipo de turismo de ocio;Total;;2022;3249508
124;1;Andalucía;Otro tipo de turismo de ocio;Total;;2021;2758877
125;1;Andalucía;Otro tipo de turismo de ocio;Total;;2020;2489740
126;1;Andalucía;Otro tipo de turismo de ocio;Total;;2019;5719632
127;1;Andalucía;Otro tipo de turismo de ocio;Total;;2018;6872179
128;1;Andalucía;Otro tipo de turismo de ocio;Total;;2017;7212429
129;1;Andalucía;Otro tipo de turismo de ocio;Total;;2016;4932255
130;1;Andalucía;Otro tipo de turismo de ocio;Total;;2015;3056610
131;1;Andalucía;Visitas a familiares o amigos;Total;;2024;10057053
132;1;Andalucía;Visitas a familiares o amigos;Total;;2023;9924602
133;1;Andalucía;Visitas a familiares o amigos;Total;;2022;9263067
134;1;Andalucía;Visitas a familiares o amigos;Total;;2021;9264715
135;1;Andalucía;Visitas a familiares o amigos;Total;;2020;7207732
136;1;Andalucía;Visitas a familiares o amigos;Total;;2019;11436024
137;1;Andalucía;Visitas a familiares o amigos;Total;;2018;11489205
138;1;Andalucía;Visitas a familiares o amigos;Total;;2017;12338482
139;1;Andalucía;Visitas a familiares o amigos;Total;;2016;12350000
140;1;Andalucía;Visitas a familiares o amigos;Total;;2015;11317388
141;1;Andalucía;Otros motivos;Total;;2024;1735687
142;1;Andalucía;Otros motivos;Total;;2023;1578805
143;1;Andalucía;Otros motivos;Total;;2022;1267534
144;1;Andalucía;Otros motivos;Total;;2021;1580332
145;1;Andalucía;Otros motivos;Total;;2020;888960
146;1;Andalucía;Otros motivos;Total;;2019;1797527
147;1;Andalucía;Otros motivos;Total;;2018;1583963
148;1;Andalucía;Otros motivos;Total;;2017;1597177
149;1;Andalucía;Otros motivos;Total;;2016;1527167
150;1;Andalucía;Otros motivos;Total;;2015;1670866
156;1;Andalucía;Turismo de compras;Total;;2019;61844
157;1;Andalucía;Turismo de compras;Total;;2018;65107
