Destino principal;Concepto turístico;Alojamiento principal: Nivel 1;Alojamiento principal: Nivel 2;Motivo principal;Transporte principal;Forma de organización del viaje;Duración del viaje;Comunidad autónoma de residencia;Periodo;Total
01 Andalucía;Viajes;Resto de mercado;;Total;Total;Total;Total;Total;2016;371.637
01 Andalucía;Viajes;Resto de mercado;;Total;Total;Total;Total;Total;2015;842.930
01 Andalucía;Viajes;No de mercado;;Total;Total;Total;Total;Total;2024;16.746.341
01 Andalucía;Viajes;No de mercado;;Total;Total;Total;Total;Total;2023;18.232.258
01 Andalucía;Viajes;No de mercado;;Total;Total;Total;Total;Total;2022;15.321.091
01 Andalucía;Viajes;No de mercado;;Total;Total;Total;Total;Total;2021;15.392.624
01 Andalucía;Viajes;No de mercado;;Total;Total;Total;Total;Total;2020;11.909.714
01 Andalucía;Viajes;No de mercado;;Total;Total;Total;Total;Total;2019;19.418.273
01 Andalucía;Viajes;No de mercado;;Total;Total;Total;Total;Total;2018;20.180.978
01 Andalucía;Viajes;No de mercado;;Total;Total;Total;Total;Total;2017;20.528.480
01 Andalucía;Viajes;No de mercado;;Total;Total;Total;Total;Total;2016;20.513.893
01 Andalucía;Viajes;No de mercado;;Total;Total;Total;Total;Total;2015;18.945.432
01 Andalucía;Viajes;No de mercado;Vivienda en propiedad;Total;Total;Total;Total;Total;2024;5.004.876
01 Andalucía;Viajes;No de mercado;Vivienda en propiedad;Total;Total;Total;Total;Total;2023;4.566.369
01 Andalucía;Viajes;No de mercado;Vivienda en propiedad;Total;Total;Total;Total;Total;2022;3.791.998
01 Andalucía;Viajes;No de mercado;Vivienda en propiedad;Total;Total;Total;Total;Total;2021;3.565.091
01 Andalucía;Viajes;No de mercado;Vivienda en propiedad;Total;Total;Total;Total;Total;2020;2.477.424
01 Andalucía;Viajes;No de mercado;Vivienda en propiedad;Total;Total;Total;Total;Total;2019;5.468.906
01 Andalucía;Viajes;No de mercado;Vivienda en propiedad;Total;Total;Total;Total;Total;2018;5.843.617
01 Andalucía;Viajes;No de mercado;Vivienda en propiedad;Total;Total;Total;Total;Total;2017;5.442.482
01 Andalucía;Viajes;No de mercado;Vivienda en propiedad;Total;Total;Total;Total;Total;2016;5.274.467
01 Andalucía;Viajes;No de mercado;Vivienda en propiedad;Total;Total;Total;Total;Total;2015;5.146.268
01 Andalucía;Viajes;No de mercado;Vivienda de familiares o amigos;Total;Total;Total;Total;Total;2024;11.396.008
01 Andalucía;Viajes;No de mercado;Vivienda de familiares o amigos;Total;Total;Total;Total;Total;2023;13.194.451
01 Andalucía;Viajes;No de mercado;Vivienda de familiares o amigos;Total;Total;Total;Total;Total;2022;11.177.133
01 Andalucía;Viajes;No de mercado;Vivienda de familiares o amigos;Total;Total;Total;Total;Total;2021;11.550.613
01 Andalucía;Viajes;No de mercado;Vivienda de familiares o amigos;Total;Total;Total;Total;Total;2020;9.252.151
01 Andalucía;Viajes;No de mercado;Vivienda de familiares o amigos;Total;Total;Total;Total;Total;2019;13.572.144
01 Andalucía;Viajes;No de mercado;Vivienda de familiares o amigos;Total;Total;Total;Total;Total;2018;13.852.551
01 Andalucía;Viajes;No de mercado;Vivienda de familiares o amigos;Total;Total;Total;Total;Total;2017;14.813.424
01 Andalucía;Viajes;No de mercado;Vivienda de familiares o amigos;Total;Total;Total;Total;Total;2016;14.948.118
01 Andalucía;Viajes;No de mercado;Vivienda de familiares o amigos;Total;Total;Total;Total;Total;2015;13.439.963
01 Andalucía;Viajes;No de mercado;Resto de no mercado;Total;Total;Total;Total;Total;2024;345.457
01 Andalucía;Viajes;No de mercado;Resto de no mercado;Total;Total;Total;Total;Total;2023;471.438
01 Andalucía;Viajes;No de mercado;Resto de no mercado;Total;Total;Total;Total;Total;2022;351.960
01 Andalucía;Viajes;No de mercado;Resto de no mercado;Total;Total;Total;Total;Total;2021;276.919
01 Andalucía;Viajes;No de mercado;Resto de no mercado;Total;Total;Total;Total;Total;2020;180.139
01 Andalucía;Viajes;No de mercado;Resto de no mercado;Total;Total;Total;Total;Total;2019;377.224
01 Andalucía;Viajes;No de mercado;Resto de no mercado;Total;Total;Total;Total;Total;2018;484.810
01 Andalucía;Viajes;No de mercado;Resto de no mercado;Total;Total;Total;Total;Total;2017;272.574
01 Andalucía;Viajes;No de mercado;Resto de no mercado;Total;Total;Total;Total;Total;2016;291.307
01 Andalucía;Viajes;No de mercado;Resto de no mercado;Total;Total;Total;Total;Total;2015;359.201
02 Aragón;Viajes;De mercado;;Total;Total;Total;Total;Total;2024;2.584.986
02 Aragón;Viajes;De mercado;;Total;Total;Total;Total;Total;2023;2.644.515
02 Aragón;Viajes;De mercado;;Total;Total;Total;Total;Total;2022;2.749.439
02 Aragón;Viajes;De mercado;;Total;Total;Total;Total;Total;2021;2.055.971
02 Aragón;Viajes;De mercado;;Total;Total;Total;Total;Total;2020;1.318.105
02 Aragón;Viajes;De mercado;;Total;Total;Total;Total;Total;2019;2.773.209
02 Aragón;Viajes;De mercado;;Total;Total;Total;Total;Total;2018;2.671.195
