Comunidades  autónomas;Gastos y duración media de los viajes;Tipo de dato;Periodo;Total
17 Rioja, La;Gasto medio diario por persona;Dato base;2024;143
17 Rioja, La;Gasto medio diario por persona;Dato base;2023;132
17 Rioja, La;Gasto medio diario por persona;Dato base;2022;134
17 Rioja, La;Gasto medio diario por persona;Dato base;2021;117
17 Rioja, La;Gasto medio diario por persona;Dato base;2020;.
17 Rioja, La;Gasto medio diario por persona;Dato base;2019;103
17 Rioja, La;Gasto medio diario por persona;Dato base;2018;104
17 Rioja, La;Gasto medio diario por persona;Dato base;2017;99
17 Rioja, La;Gasto medio diario por persona;Dato base;2016;99
17 Rioja, La;Duración media de los viajes;Dato base;2025;6,27
17 Rioja, La;Duración media de los viajes;Dato base;2024;6,01
17 Rioja, La;Duración media de los viajes;Dato base;2023;5,56
17 Rioja, La;Duración media de los viajes;Dato base;2022;7,19
17 Rioja, La;Duración media de los viajes;Dato base;2021;7,51
17 Rioja, La;Duración media de los viajes;Dato base;2020;.
17 Rioja, La;Duración media de los viajes;Dato base;2019;6,81
17 Rioja, La;Duración media de los viajes;Dato base;2018;6,78
17 Rioja, La;Duración media de los viajes;Dato base;2017;7,84
17 Rioja, La;Duración media de los viajes;Dato base;2016;6,59
18 Ceuta;Gasto total;Dato base;2025;71,51
18 Ceuta;Gasto total;Dato base;2024;67,11
18 Ceuta;Gasto total;Dato base;2023;43,92
18 Ceuta;Gasto total;Dato base;2022;33,28
18 Ceuta;Gasto total;Dato base;2021;3,00
18 Ceuta;Gasto total;Dato base;2020;""
18 Ceuta;Gasto total;Dato base;2019;""
18 Ceuta;Gasto total;Dato base;2018;""
18 Ceuta;Gasto total;Dato base;2017;""
18 Ceuta;Gasto total;Dato base;2016;""
18 Ceuta;Gasto medio por persona;Dato base;2025;1.145
18 Ceuta;Gasto medio por persona;Dato base;2024;1.048
18 Ceuta;Gasto medio por persona;Dato base;2023;943
18 Ceuta;Gasto medio por persona;Dato base;2022;926
18 Ceuta;Gasto medio por persona;Dato base;2021;760
18 Ceuta;Gasto medio por persona;Dato base;2020;""
18 Ceuta;Gasto medio por persona;Dato base;2019;""
18 Ceuta;Gasto medio por persona;Dato base;2018;""
18 Ceuta;Gasto medio por persona;Dato base;2017;""
18 Ceuta;Gasto medio por persona;Dato base;2016;""
18 Ceuta;Gasto medio diario por persona;Dato base;2025;143
18 Ceuta;Gasto medio diario por persona;Dato base;2024;118
18 Ceuta;Gasto medio diario por persona;Dato base;2023;120
18 Ceuta;Gasto medio diario por persona;Dato base;2022;126
18 Ceuta;Gasto medio diario por persona;Dato base;2021;58
18 Ceuta;Gasto medio diario por persona;Dato base;2020;""
18 Ceuta;Gasto medio diario por persona;Dato base;2019;""
18 Ceuta;Gasto medio diario por persona;Dato base;2018;""
18 Ceuta;Gasto medio diario por persona;Dato base;2017;""
18 Ceuta;Gasto medio diario por persona;Dato base;2016;""
18 Ceuta;Duración media de los viajes;Dato base;2025;8,00
18 Ceuta;Duración media de los viajes;Dato base;2024;8,91
18 Ceuta;Duración media de los viajes;Dato base;2023;7,87
18 Ceuta;Duración media de los viajes;Dato base;2022;7,32
18 Ceuta;Duración media de los viajes;Dato base;2021;13,10
18 Ceuta;Duración media de los viajes;Dato base;2020;""
18 Ceuta;Duración media de los viajes;Dato base;2019;""
18 Ceuta;Duración media de los viajes;Dato base;2018;""
18 Ceuta;Duración media de los viajes;Dato base;2017;""
18 Ceuta;Duración media de los viajes;Dato base;2016;""
19 Melilla;Gasto total;Dato base;2025;23,62
19 Melilla;Gasto total;Dato base;2024;27,78
19 Melilla;Gasto total;Dato base;2023;24,09
19 Melilla;Gasto total;Dato base;2022;21,77
19 Melilla;Gasto total;Dato base;2021;8,96
19 Melilla;Gasto total;Dato base;2020;""
19 Melilla;Gasto total;Dato base;2019;""
19 Melilla;Gasto total;Dato base;2018;""
19 Melilla;Gasto total;Dato base;2017;""
19 Melilla;Gasto total;Dato base;2016;""
19 Melilla;Gasto medio por persona;Dato base;2025;964
19 Melilla;Gasto medio por persona;Dato base;2024;959
19 Melilla;Gasto medio por persona;Dato base;2023;944
19 Melilla;Gasto medio por persona;Dato base;2022;863
19 Melilla;Gasto medio por persona;Dato base;2021;1.005
19 Melilla;Gasto medio por persona;Dato base;2020;""
19 Melilla;Gasto medio por persona;Dato base;2019;""
19 Melilla;Gasto medio por persona;Dato base;2018;""
19 Melilla;Gasto medio por persona;Dato base;2017;""
19 Melilla;Gasto medio por persona;Dato base;2016;""
19 Melilla;Gasto medio diario por persona;Dato base;2025;95
19 Melilla;Gasto medio diario por persona;Dato base;2024;107
19 Melilla;Gasto medio diario por persona;Dato base;2023;107
19 Melilla;Gasto medio diario por persona;Dato base;2022;106
19 Melilla;Gasto medio diario por persona;Dato base;2021;92
19 Melilla;Gasto medio diario por persona;Dato base;2020;""
19 Melilla;Gasto medio diario por persona;Dato base;2019;""
19 Melilla;Gasto medio diario por persona;Dato base;2018;""
19 Melilla;Gasto medio diario por persona;Dato base;2017;""
19 Melilla;Gasto medio diario por persona;Dato base;2016;""
19 Melilla;Duración media de los viajes;Dato base;2025;10,13
19 Melilla;Duración media de los viajes;Dato base;2024;9,00
19 Melilla;Duración media de los viajes;Dato base;2023;8,82
19 Melilla;Duración media de los viajes;Dato base;2022;8,12
19 Melilla;Duración media de los viajes;Dato base;2021;10,92
19 Melilla;Duración media de los viajes;Dato base;2020;""
19 Melilla;Duración media de los viajes;Dato base;2019;""
19 Melilla;Duración media de los viajes;Dato base;2018;""
19 Melilla;Duración media de los viajes;Dato base;2017;""
19 Melilla;Duración media de los viajes;Dato base;2016;""
