Destino principal;Concepto turístico;Alojamiento principal: Nivel 1;Alojamiento principal: Nivel 2;Motivo principal;Transporte principal;Forma de organización del viaje;Duración del viaje;Comunidad autónoma de residencia;Periodo;Total
01 Andalucía;Viajes;Total;;Turismo de sol y playa;Total;Total;Total;Total;2023;7.162.867
01 Andalucía;Viajes;Total;;Turismo de sol y playa;Total;Total;Total;Total;2022;7.481.747
01 Andalucía;Viajes;Total;;Turismo de sol y playa;Total;Total;Total;Total;2021;6.984.235
01 Andalucía;Viajes;Total;;Turismo de sol y playa;Total;Total;Total;Total;2020;4.404.406
01 Andalucía;Viajes;Total;;Turismo de sol y playa;Total;Total;Total;Total;2019;7.278.587
01 Andalucía;Viajes;Total;;Turismo de sol y playa;Total;Total;Total;Total;2018;6.154.770
01 Andalucía;Viajes;Total;;Turismo de sol y playa;Total;Total;Total;Total;2017;5.872.468
01 Andalucía;Viajes;Total;;Turismo de sol y playa;Total;Total;Total;Total;2016;6.803.351
01 Andalucía;Viajes;Total;;Turismo de sol y playa;Total;Total;Total;Total;2015;7.340.544
01 Andalucía;Viajes;Total;;Turismo de naturaleza;Total;Total;Total;Total;2024;1.291.258
01 Andalucía;Viajes;Total;;Turismo de naturaleza;Total;Total;Total;Total;2023;1.095.060
01 Andalucía;Viajes;Total;;Turismo de naturaleza;Total;Total;Total;Total;2022;1.249.706
01 Andalucía;Viajes;Total;;Turismo de naturaleza;Total;Total;Total;Total;2021;1.243.191
01 Andalucía;Viajes;Total;;Turismo de naturaleza;Total;Total;Total;Total;2020;934.185
01 Andalucía;Viajes;Total;;Turismo de naturaleza;Total;Total;Total;Total;2019;1.472.623
01 Andalucía;Viajes;Total;;Turismo de naturaleza;Total;Total;Total;Total;2018;1.039.901
01 Andalucía;Viajes;Total;;Turismo de naturaleza;Total;Total;Total;Total;2017;826.756
01 Andalucía;Viajes;Total;;Turismo de naturaleza;Total;Total;Total;Total;2016;1.038.915
01 Andalucía;Viajes;Total;;Turismo de naturaleza;Total;Total;Total;Total;2015;1.451.981
01 Andalucía;Viajes;Total;;Turismo cultural;Total;Total;Total;Total;2024;2.594.955
01 Andalucía;Viajes;Total;;Turismo cultural;Total;Total;Total;Total;2023;2.496.035
01 Andalucía;Viajes;Total;;Turismo cultural;Total;Total;Total;Total;2022;2.714.460
01 Andalucía;Viajes;Total;;Turismo cultural;Total;Total;Total;Total;2021;1.536.643
01 Andalucía;Viajes;Total;;Turismo cultural;Total;Total;Total;Total;2020;794.670
01 Andalucía;Viajes;Total;;Turismo cultural;Total;Total;Total;Total;2019;2.257.965
01 Andalucía;Viajes;Total;;Turismo cultural;Total;Total;Total;Total;2018;1.981.171
01 Andalucía;Viajes;Total;;Turismo cultural;Total;Total;Total;Total;2017;1.699.241
01 Andalucía;Viajes;Total;;Turismo cultural;Total;Total;Total;Total;2016;1.915.152
01 Andalucía;Viajes;Total;;Turismo cultural;Total;Total;Total;Total;2015;1.963.730
01 Andalucía;Viajes;Total;;Turismo gastronómico;Total;Total;Total;Total;2024;215.026
01 Andalucía;Viajes;Total;;Turismo gastronómico;Total;Total;Total;Total;2023;271.873
01 Andalucía;Viajes;Total;;Turismo gastronómico;Total;Total;Total;Total;2022;160.771
01 Andalucía;Viajes;Total;;Turismo gastronómico;Total;Total;Total;Total;2021;140.809
01 Andalucía;Viajes;Total;;Turismo gastronómico;Total;Total;Total;Total;2020;""
01 Andalucía;Viajes;Total;;Turismo gastronómico;Total;Total;Total;Total;2019;177.614
01 Andalucía;Viajes;Total;;Turismo gastronómico;Total;Total;Total;Total;2018;139.242
01 Andalucía;Viajes;Total;;Turismo gastronómico;Total;Total;Total;Total;2017;113.116
01 Andalucía;Viajes;Total;;Turismo gastronómico;Total;Total;Total;Total;2016;128.413
01 Andalucía;Viajes;Total;;Turismo gastronómico;Total;Total;Total;Total;2015;111.476
01 Andalucía;Viajes;Total;;Turismo deportivo;Total;Total;Total;Total;2024;565.973
01 Andalucía;Viajes;Total;;Turismo deportivo;Total;Total;Total;Total;2023;414.648
01 Andalucía;Viajes;Total;;Turismo deportivo;Total;Total;Total;Total;2022;430.210
01 Andalucía;Viajes;Total;;Turismo deportivo;Total;Total;Total;Total;2021;285.473
01 Andalucía;Viajes;Total;;Turismo deportivo;Total;Total;Total;Total;2020;323.649
01 Andalucía;Viajes;Total;;Turismo deportivo;Total;Total;Total;Total;2019;541.420
01 Andalucía;Viajes;Total;;Turismo deportivo;Total;Total;Total;Total;2018;628.841
01 Andalucía;Viajes;Total;;Turismo deportivo;Total;Total;Total;Total;2017;656.565
01 Andalucía;Viajes;Total;;Turismo deportivo;Total;Total;Total;Total;2016;512.463
01 Andalucía;Viajes;Total;;Turismo deportivo;Total;Total;Total;Total;2015;598.439
01 Andalucía;Viajes;Total;;Turismo termal y de bienestar;Total;Total;Total;Total;2024;""
01 Andalucía;Viajes;Total;;Turismo termal y de bienestar;Total;Total;Total;Total;2023;""
01 Andalucía;Viajes;Total;;Turismo termal y de bienestar;Total;Total;Total;Total;2022;""
01 Andalucía;Viajes;Total;;Turismo termal y de bienestar;Total;Total;Total;Total;2021;""
01 Andalucía;Viajes;Total;;Turismo termal y de bienestar;Total;Total;Total;Total;2020;""
01 Andalucía;Viajes;Total;;Turismo termal y de bienestar;Total;Total;Total;Total;2019;142.771
01 Andalucía;Viajes;Total;;Turismo termal y de bienestar;Total;Total;Total;Total;2018;147.196
01 Andalucía;Viajes;Total;;Turismo termal y de bienestar;Total;Total;Total;Total;2017;60.968
01 Andalucía;Viajes;Total;;Turismo termal y de bienestar;Total;Total;Total;Total;2016;114.294
01 Andalucía;Viajes;Total;;Turismo termal y de bienestar;Total;Total;Total;Total;2015;282.675
01 Andalucía;Viajes;Total;;Otro tipo de turismo de ocio;Total;Total;Total;Total;2024;5.668.061
01 Andalucía;Viajes;Total;;Otro tipo de turismo de ocio;Total;Total;Total;Total;2023;5.817.529
01 Andalucía;Viajes;Total;;Otro tipo de turismo de ocio;Total;Total;Total;Total;2022;3.249.508
01 Andalucía;Viajes;Total;;Otro tipo de turismo de ocio;Total;Total;Total;Total;2021;2.758.877
01 Andalucía;Viajes;Total;;Otro tipo de turismo de ocio;Total;Total;Total;Total;2020;2.489.740
01 Andalucía;Viajes;Total;;Otro tipo de turismo de ocio;Total;Total;Total;Total;2019;5.719.632
01 Andalucía;Viajes;Total;;Otro tipo de turismo de ocio;Total;Total;Total;Total;2018;6.872.179
01 Andalucía;Viajes;Total;;Otro tipo de turismo de ocio;Total;Total;Total;Total;2017;7.212.429
01 Andalucía;Viajes;Total;;Otro tipo de turismo de ocio;Total;Total;Total;Total;2016;4.932.255
01 Andalucía;Viajes;Total;;Otro tipo de turismo de ocio;Total;Total;Total;Total;2015;3.056.610
01 Andalucía;Viajes;Total;;Visitas a familiares o amigos;Total;Total;Total;Total;2024;10.057.053
01 Andalucía;Viajes;Total;;Visitas a familiares o amigos;Total;Total;Total;Total;2023;9.924.602
01 Andalucía;Viajes;Total;;Visitas a familiares o amigos;Total;Total;Total;Total;2022;9.263.067
01 Andalucía;Viajes;Total;;Visitas a familiares o amigos;Total;Total;Total;Total;2021;9.264.715
01 Andalucía;Viajes;Total;;Visitas a familiares o amigos;Total;Total;Total;Total;2020;7.207.732
01 Andalucía;Viajes;Total;;Visitas a familiares o amigos;Total;Total;Total;Total;2019;11.436.024
01 Andalucía;Viajes;Total;;Visitas a familiares o amigos;Total;Total;Total;Total;2018;11.489.205
01 Andalucía;Viajes;Total;;Visitas a familiares o amigos;Total;Total;Total;Total;2017;12.338.482
01 Andalucía;Viajes;Total;;Visitas a familiares o amigos;Total;Total;Total;Total;2016;12.350.000
01 Andalucía;Viajes;Total;;Visitas a familiares o amigos;Total;Total;Total;Total;2015;11.317.388
01 Andalucía;Viajes;Total;;Otros motivos;Total;Total;Total;Total;2024;1.735.687
01 Andalucía;Viajes;Total;;Otros motivos;Total;Total;Total;Total;2023;1.578.805
01 Andalucía;Viajes;Total;;Otros motivos;Total;Total;Total;Total;2022;1.267.534
01 Andalucía;Viajes;Total;;Otros motivos;Total;Total;Total;Total;2021;1.580.332
01 Andalucía;Viajes;Total;;Otros motivos;Total;Total;Total;Total;2020;888.960
01 Andalucía;Viajes;Total;;Otros motivos;Total;Total;Total;Total;2019;1.797.527
01 Andalucía;Viajes;Total;;Otros motivos;Total;Total;Total;Total;2018;1.583.963
01 Andalucía;Viajes;Total;;Otros motivos;Total;Total;Total;Total;2017;1.597.177
01 Andalucía;Viajes;Total;;Otros motivos;Total;Total;Total;Total;2016;1.527.167
01 Andalucía;Viajes;Total;;Otros motivos;Total;Total;Total;Total;2015;1.670.866
01 Andalucía;Viajes;Total;;Turismo de compras;Total;Total;Total;Total;2024;""
01 Andalucía;Viajes;Total;;Turismo de compras;Total;Total;Total;Total;2023;""
01 Andalucía;Viajes;Total;;Turismo de compras;Total;Total;Total;Total;2022;""
01 Andalucía;Viajes;Total;;Turismo de compras;Total;Total;Total;Total;2021;""
01 Andalucía;Viajes;Total;;Turismo de compras;Total;Total;Total;Total;2020;""
01 Andalucía;Viajes;Total;;Turismo de compras;Total;Total;Total;Total;2019;61.844
01 Andalucía;Viajes;Total;;Turismo de compras;Total;Total;Total;Total;2018;65.107
01 Andalucía;Viajes;Total;;Turismo de compras;Total;Total;Total;Total;2017;41.200
01 Andalucía;Viajes;Total;;Turismo de compras;Total;Total;Total;Total;2016;""
01 Andalucía;Viajes;Total;;Turismo de compras;Total;Total;Total;Total;2015;103.191
01 Andalucía;Viajes;Total;;Desplazamiento al centro de estudios habitual;Total;Total;Total;Total;2024;""
01 Andalucía;Viajes;Total;;Desplazamiento al centro de estudios habitual;Total;Total;Total;Total;2023;""
01 Andalucía;Viajes;Total;;Desplazamiento al centro de estudios habitual;Total;Total;Total;Total;2022;""
01 Andalucía;Viajes;Total;;Desplazamiento al centro de estudios habitual;Total;Total;Total;Total;2021;""
01 Andalucía;Viajes;Total;;Desplazamiento al centro de estudios habitual;Total;Total;Total;Total;2020;""
01 Andalucía;Viajes;Total;;Desplazamiento al centro de estudios habitual;Total;Total;Total;Total;2019;""
01 Andalucía;Viajes;Total;;Desplazamiento al centro de estudios habitual;Total;Total;Total;Total;2018;""
01 Andalucía;Viajes;Total;;Desplazamiento al centro de estudios habitual;Total;Total;Total;Total;2017;""
